RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,Tag #,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
FGB,east,East Buoy 3,27.9074,-93.59925,20,FGB_east_20,BMU,NCRMP,1201,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,13.0789,28.7365,10.34915543,1.26376496,1.311196658,25.2744,23.4531,5.283479691,1.41992808,0.015037537,0.004498935,5.050638202,1.511051593,0.533231735,0.159532445,
FGB,east,East Buoy 3,27.9074,-93.59925,20,FGB_east_20,BMU,NCRMP,1202,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,12.2745,27.6067,10.57705307,1.160483919,1.203607848,23.3281,18.0448,1.604621887,1.54298094,0.005518913,0.00165115,8.96691227,2.682723753,0.25280571,0.075634495,
FGB,east,East Buoy 3,27.9074,-93.59925,20,FGB_east_20,BMU,NCRMP,1203,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,11.6559,27.0774,9.844007492,1.184060456,1.233429794,20.6645,18.1886,1.850646973,1.65399478,0.008797646,0.002632082,7.984562873,2.388824138,0.091100693,0.027255535,
FGB,east,East Buoy 3,27.9074,-93.59925,20,FGB_east_20,BMU,NCRMP,1204,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,14.3838,29.8939,10.89072132,1.320738965,1.36246302,24.8502,21.5803,3.72731781,1.58515139,0.033559799,0.010040432,7.129843711,2.133108979,0.103408814,0.030937883,
FGB,east,East Buoy 3,27.9074,-93.59925,20,FGB_east_20,BMU,NCRMP,1205,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,13.3572,28.7508,10.81167126,1.235442669,1.275586041,20.9437,18.9239,4.864943504,1.102306454,0.009750366,0.002917118,5.93697739,1.776226842,0.140479088,0.04202858,
FGB,east,East Buoy 3,27.9074,-93.59925,20.4,FGB_east_20,BMU,NCRMP,1206,Base Only,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,12.0603,27.761,10.26217461,1.175218748,1.206084294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
FGB,east,East Buoy 3,27.9074,-93.59925,20.4,FGB_east_20,BMU,NCRMP,1207,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,11.5561,26.9258,10.15971851,1.137442931,1.165814428,22.8865,19.76,5.552790642,1.138217,0.094576836,0.028295529,4.512351032,1.350006661,0.373286247,0.111679902,
FGB,east,East Buoy 3,27.9074,-93.59925,20.7,FGB_east_20,BMU,NCRMP,1208,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,12.2,27.6898,9.98482132,1.221854614,1.253892236,23.0996,20.5207,3.424678802,1.57234818,0.01924324,0.005757199,6.540899278,1.95690839,0.165447235,0.049498558,
FGB,east,East Buoy 3,27.9074,-93.59925,21,FGB_east_20,BMU,NCRMP,1209,SUCCESSFULLY RECOVERED,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,15.8151,31.705,11.64464951,1.358143067,1.40305007,30.8022,28.0779,7.524321556,1.56064621,0.081539154,0.024394911,4.0387888,1.208326157,0.529506683,0.158417983,
FGB,east,East Buoy 3,27.9074,-93.59925,20.1,FGB_east_20,BMU,NCRMP,1210,Base Only,6/3/19,10/5/22,3.342465753,O. faveolata,5x2x1,11.8812,27.4602,10.02978802,1.184591337,1.223647616,24.1533,21.8192,4.372077942,1.48901955,0.015981674,0.004781403,5.641728404,1.687894154,0.307840347,0.092099776,
